id,food_code,component,unity,value
120,BRC0300C,Açúcar de adição,g,0.00
121,BRC0300C,Gordura de adição,g,0.00
122,BRC0300C,Proteína vegetal,g,0.37
123,BRC0300C,Proteína animal,g,0.00
124,BRC0054C,Energia,kJ,142.00
125,BRC0054C,Energia,kcal,33.00
126,BRC0054C,Umidade,g,91.30
127,BRC0054C,Carboidrato total,g,7.80
128,BRC0054C,Carboidrato disponível,g,7.47
129,BRC0054C,Proteína,g,0.47
130,BRC0054C,Lipídios,g,0.11
131,BRC0054C,Fibra alimentar,g,0.33
132,BRC0054C,Álcool,g,0.00
133,BRC0054C,Cinzas,g,0.33
134,BRC0054C,Colesterol,mg,0.00
135,BRC0054C,Ácidos graxos saturados,g,0.01
136,BRC0054C,Ácidos graxos monoinsaturados,g,0.01
137,BRC0054C,Ácidos graxos poliinsaturados,g,0.04
138,BRC0054C,Ácidos graxos trans,g,0.00
139,BRC0054C,Cálcio,mg,13.50
140,BRC0054C,Ferro,mg,0.36
141,BRC0054C,Sódio,mg,1.24
142,BRC0054C,Magnésio,mg,10.10
143,BRC0054C,Fósforo,mg,7.63
144,BRC0054C,Potássio,mg,106.00
145,BRC0054C,Manganês,mg,1.02
146,BRC0054C,Zinco,mg,0.06
147,BRC0054C,Cobre,mg,0.04
148,BRC0054C,Selênio,mcg,0.06
149,BRC0054C,Vitamina A (RE),mcg,2.26
150,BRC0054C,Vitamina A (RAE),mcg,1.13
151,BRC0054C,Vitamina D,mcg,0.00
152,BRC0054C,Alfa-tocoferol (Vitamina E),mg,0.02
153,BRC0054C,Tiamina,mg,0.05
154,BRC0054C,Riboflavina,mg,0.00
155,BRC0054C,Niacina,mg,0.00
156,BRC0054C,Vitamina B6,mg,0.00
157,BRC0054C,Vitamina B12,mcg,0.00
158,BRC0054C,Vitamina C,mg,1.25
159,BRC0054C,Equivalente de folato,mcg,11.20
160,BRC0054C,Sal de adição,g,0.00
161,BRC0054C,Açúcar de adição,g,0.00
162,BRC0054C,Gordura de adição,g,0.00
163,BRC0054C,Proteína vegetal,g,0.47
164,BRC0054C,Proteína animal,g,0.00
165,BRC0264C,Energia,kJ,1180.00
166,BRC0264C,Energia,kcal,279.00
167,BRC0264C,Umidade,g,27.50
168,BRC0264C,Carboidrato total,g,64.90
169,BRC0264C,Carboidrato disponível,g,58.60
170,BRC0264C,Proteína,g,3.80
171,BRC0264C,Lipídios,g,1.86
172,BRC0264C,Fibra alimentar,g,6.24
173,BRC0264C,Álcool,g,0.00
174,BRC0264C,Cinzas,g,1.99
175,BRC0264C,Colesterol,mg,0.00
176,BRC0264C,Ácidos graxos saturados,g,0.13
177,BRC0264C,Ácidos graxos monoinsaturados,g,0.18
178,BRC0264C,Ácidos graxos poliinsaturados,g,0.57
179,BRC0264C,Ácidos graxos trans,g,0.00
180,BRC0264C,Cálcio,mg,102.00
181,BRC0264C,Ferro,mg,2.64
182,BRC0264C,Sódio,mg,15.90
183,BRC0264C,Magnésio,mg,92.80
184,BRC0264C,Fósforo,mg,58.70
185,BRC0264C,Potássio,mg,767.00
186,BRC0264C,Manganês,mg,8.30
187,BRC0264C,Zinco,mg,0.86
188,BRC0264C,Cobre,mg,0.69
189,BRC0264C,Selênio,mcg,2.26
190,BRC0264C,Vitamina A (RE),mcg,11.20
191,BRC0264C,Vitamina A (RAE),mcg,5.58
192,BRC0264C,Vitamina D,mcg,0.00
193,BRC0264C,Alfa-tocoferol (Vitamina E),mg,0.26
194,BRC0264C,Tiamina,mg,0.92
195,BRC0264C,Riboflavina,mg,0.11
196,BRC0264C,Niacina,mg,0.00
197,BRC0264C,Vitamina B6,mg,0.00
198,BRC0264C,Vitamina B12,mcg,0.00
199,BRC0264C,Vitamina C,mg,184.00
200,BRC0264C,Equivalente de folato,mcg,63.10
201,BRC0264C,Sal de adição,g,0.00
202,BRC0264C,Açúcar de adição,g,0.00
203,BRC0264C,Gordura de adição,g,0.00
204,BRC0264C,Proteína vegetal,g,3.80
205,BRC0264C,Proteína animal,g,0.00
206,BRC0218C,Energia,kJ,219.00
207,BRC0218C,Energia,kcal,51.00
208,BRC0218C,Umidade,g,86.20
209,BRC0218C,Carboidrato total,g,12.30
210,BRC0218C,Carboidrato disponível,g,10.70
211,BRC0218C,Proteína,g,0.71
212,BRC0218C,Lipídios,g,0.34
213,BRC0218C,Fibra alimentar,g,1.64
214,BRC0218C,Álcool,g,0.00
215,BRC0218C,Cinzas,g,0.39
216,BRC0218C,Colesterol,mg,0.00
217,BRC0218C,Ácidos graxos saturados,g,0.02
218,BRC0218C,Ácidos graxos monoinsaturados,g,0.03
219,BRC0218C,Ácidos graxos poliinsaturados,g,0.10
220,BRC0218C,Ácidos graxos trans,g,0.00
221,BRC0218C,Cálcio,mg,28.20
222,BRC0218C,Ferro,mg,0.55
223,BRC0218C,Sódio,mg,2.91
224,BRC0218C,Magnésio,mg,17.00
225,BRC0218C,Fósforo,mg,11.00
226,BRC0218C,Potássio,mg,140.00
227,BRC0218C,Manganês,mg,1.65
228,BRC0218C,Zinco,mg,0.17
229,BRC0218C,Cobre,mg,0.12
230,BRC0218C,Selênio,mcg,0.44
231,BRC0218C,Vitamina A (RE),mcg,1.88
232,BRC0218C,Vitamina A (RAE),mcg,1.09
233,BRC0218C,Vitamina D,mcg,0.00
234,BRC0218C,Alfa-tocoferol (Vitamina E),mg,0.07
235,BRC0218C,Tiamina,mg,0.00
236,BRC0218C,Riboflavina,mg,0.00
237,BRC0218C,Niacina,mg,0.01
238,BRC0218C,Vitamina B6,mg,0.00
