id,food_code,description,weight_g
1,BRC0001C,Colher sopa cheia,45.00
2,BRC0001C,Copo americano duplo,200.00
3,BRC0001C,Copo americano pequeno,130.00
4,BRC0001C,Pedaço/ Unidade/ Fatia (M),370.00
5,BRC0001C,Prato fundo,450.00
6,BRC0001C,Prato raso,350.00
7,BRC0195C,Pedaço/ Unidade/ Fatia (M),80.00
8,BRC0300C,Porção média,80.00
9,BRC0054C,Pedaço/ Unidade/ Fatia (M),100.00
10,BRC0264C,Porção média,30.00
11,BRC0218C,Fatia média,70.00
12,BRC0002C,Pedaço/ Unidade/ Fatia (M),75.00
13,BRC0069C,Pedaço/ Unidade/ Fatia (M),20.00
14,BRC0069C,Porção média,60.00
15,BRC0680B,Porção média,90.00
16,BRC0059B,Colher sopa cheia,36.00
17,BRC0059B,Colher sopa rasa,16.00
18,BRC0059B,Escumadeira cheia,100.00
19,BRC0059B,Escumadeira rasa,70.00
20,BRC0002B,Colher sopa cheia,28.00
21,BRC0002B,Colher sopa rasa,18.00
22,BRC0003B,Colher sopa cheia,28.00
23,BRC0003B,Colher sopa rasa,18.00
24,BRC0151B,Colher sopa cheia,30.00
25,BRC0151B,Colher sopa rasa,20.00
26,BRC0151B,Escumadeira cheia,105.00
27,BRC0151B,Escumadeira rasa,70.00
28,BRC0101B,Colher sopa cheia,30.00
29,BRC0101B,Colher sopa rasa,20.00
30,BRC0101B,Escumadeira cheia,105.00
31,BRC0101B,Escumadeira rasa,70.00
32,BRC0270B,Colher sopa cheia,36.00
33,BRC0270B,Colher sopa rasa,16.00
34,BRC0270B,Escumadeira cheia,100.00
35,BRC0270B,Escumadeira rasa,70.00
36,BRC0269B,Colher sopa cheia,36.00
37,BRC0269B,Colher sopa rasa,16.00
38,BRC0269B,Escumadeira cheia,100.00
39,BRC0269B,Escumadeira rasa,70.00
40,BRC0355B,Colher sopa cheia,30.00
41,BRC0355B,Colher sopa rasa,20.00
42,BRC0355B,Escumadeira cheia,105.00
43,BRC0355B,Escumadeira rasa,70.00
44,BRC0354B,Colher sobremesa rasa,20.00
45,BRC0354B,Colher sopa cheia,30.00
46,BRC0354B,Escumadeira cheia,105.00
47,BRC0354B,Escumadeira rasa,70.00
48,BRC0226B,Colher sopa cheia,36.00
49,BRC0226B,Colher sopa rasa,16.00
50,BRC0226B,Escumadeira cheia,100.00
51,BRC0226B,Escumadeira rasa,70.00
52,BRC0226B,Pedaço/ Unidade/ Fatia (M),50.00
53,BRC0225B,Colher sopa cheia,36.00
54,BRC0225B,Colher sopa rasa,16.00
55,BRC0225B,Escumadeira cheia,100.00
56,BRC0225B,Escumadeira rasa,70.00
57,BRC0225B,Pedaço/ Unidade/ Fatia (M),50.00
58,BRC0166B,Colher sopa cheia,36.00
59,BRC0166B,Colher sopa rasa,16.00
60,BRC0166B,Escumadeira cheia,100.00
61,BRC0166B,Escumadeira rasa,70.00
62,BRC0166B,Pedaço/ Unidade/ Fatia (M),50.00
63,BRC0165B,Colher sopa cheia,36.00
64,BRC0165B,Colher sopa rasa,16.00
65,BRC0165B,Escumadeira cheia,100.00
66,BRC0165B,Escumadeira rasa,70.00
67,BRC0165B,Pedaço/ Unidade/ Fatia (M),50.00
68,BRC0004B,Colher sopa cheia,28.00
69,BRC0004B,Colher sopa rasa,18.00
70,BRC0064B,Colher sopa cheia,36.00
71,BRC0064B,Colher sopa rasa,16.00
72,BRC0064B,Escumadeira cheia,100.00
73,BRC0064B,Escumadeira rasa,70.00
74,BRC0228B,Colher sopa cheia,36.00
75,BRC0228B,Colher sopa rasa,16.00
76,BRC0228B,Escumadeira cheia,100.00
77,BRC0228B,Escumadeira rasa,70.00
78,BRC0228B,Pedaço/ Unidade/ Fatia (M),50.00
79,BRC0227B,Colher sopa cheia,36.00
80,BRC0227B,Colher sopa rasa,16.00
81,BRC0227B,Escumadeira cheia,100.00
82,BRC0227B,Escumadeira rasa,70.00
83,BRC0227B,Pedaço/ Unidade/ Fatia (M),50.00
84,BRC0005B,Colher sopa cheia,28.00
85,BRC0005B,Colher sopa rasa,18.00
86,BRC0001B,Colher sopa cheia,28.00
87,BRC0001B,Colher sopa rasa,18.00
88,BRC0725B,Porção média,120.00
89,BRC0266B,Pedaço/ Unidade/ Fatia (M),25.00
90,BRC0265B,Pedaço/ Unidade/ Fatia (M),25.00
91,BRC0232B,Pedaço/ Unidade/ Fatia (M),25.00
92,BRC0231B,Pedaço/ Unidade/ Fatia (M),25.00
93,BRC0152B,Pedaço/ Unidade/ Fatia (M),25.00
94,BRC0040B,Colher servir cheia,70.00
95,BRC0040B,Colher servir rasa,35.00
96,BRC0040B,Colher sopa cheia,30.00
97,BRC0040B,Colher sopa rasa,20.00
98,BRC0040B,Escumadeira cheia,90.00
99,BRC0040B,Escumadeira rasa,40.00
100,BRC0006B,Colher sopa cheia,16.00
101,BRC0006B,Colher sopa rasa,11.00
102,BRC0264B,Colher servir cheia,50.00
103,BRC0264B,Colher servir rasa,35.00
104,BRC0264B,Colher sopa cheia,30.00
105,BRC0264B,Colher sopa rasa,20.00
106,BRC0264B,Escumadeira cheia,70.00
107,BRC0264B,Escumadeira rasa,35.00
108,BRC0263B,Colher servir cheia,70.00
109,BRC0263B,Colher servir rasa,35.00
110,BRC0263B,Colher sopa cheia,30.00
111,BRC0263B,Colher sopa rasa,20.00
112,BRC0263B,Escumadeira cheia,70.00
113,BRC0263B,Escumadeira rasa,35.00
114,BRC0153B,Colher servir cheia,70.00
115,BRC0153B,Colher servir rasa,35.00
116,BRC0153B,Colher sopa cheia,30.00
117,BRC0153B,Colher sopa rasa,20.00
118,BRC0153B,Escumadeira cheia,70.00
119,BRC0153B,Escumadeira rasa,35.00
120,BRC0104B,Colher servir cheia,70.00
121,BRC0104B,Colher servir rasa,35.00
122,BRC0104B,Colher sopa cheia,30.00
123,BRC0104B,Colher sopa rasa,20.00
124,BRC0104B,Escumadeira cheia,90.00
125,BRC0104B,Escumadeira rasa,40.00
126,BRC0800B,Colher café cheia,4.00
127,BRC0800B,Colher café rasa,1.00
128,BRC0003C,Pedaço/ Unidade/ Fatia (M),200.00
129,BRC0185C,Porção média,200.00
130,BRC0201C,Pedaço/ Unidade/ Fatia (M),200.00
131,BRC0177C,Pedaço/ Unidade/ Fatia (M),200.00
132,BRC0095C,Copo americano duplo,240.00
133,BRC0095C,Copo americano pequeno,165.00
134,BRC0203T,Pedaço/ Unidade/ Fatia (M),80.00
135,BRC0061T,Pedaço/ Unidade/ Fatia (M),80.00
136,BRC0212B,Colher sopa cheia,25.00
137,BRC0211B,Colher sopa cheia,25.00
138,BRC0007B,Colher servir cheia,10.00
139,BRC0007B,Colher sopa cheia,6.00
140,BRC0202B,Colher sopa cheia,25.00
141,BRC0201B,Colher sopa cheia,25.00
142,BRC0004C,Pedaço/ Unidade/ Fatia (M),36.00
143,BRC0001K,Colher café cheia,2.00
144,BRC0001K,Colher chá cheia,4.00
145,BRC0001K,Colher chá rasa,2.00
146,BRC0001K,Colher sobremesa cheia,10.00
147,BRC0001K,Colher sobremesa rasa,7.00
148,BRC0001K,Colher sopa cheia,15.00
149,BRC0001K,Colher sopa rasa,10.00
150,BRC0002K,Colher café cheia,2.00
151,BRC0002K,Colher chá cheia,4.00
152,BRC0002K,Colher chá rasa,2.00
153,BRC0002K,Colher sobremesa cheia,10.00
154,BRC0002K,Colher sobremesa rasa,7.00
155,BRC0002K,Colher sopa cheia,15.00
156,BRC0002K,Colher sopa rasa,10.00
157,BRC0003K,Colher café cheia,2.00
158,BRC0003K,Colher chá cheia,4.00
159,BRC0003K,Colher chá rasa,2.00
160,BRC0003K,Colher sobremesa cheia,10.00
161,BRC0003K,Colher sobremesa rasa,7.00
162,BRC0003K,Colher sopa cheia,15.00
163,BRC0003K,Colher sopa rasa,10.00
164,BRC0129K,Colher café cheia,2.00
165,BRC0129K,Colher chá cheia,4.00
166,BRC0129K,Colher chá rasa,2.00
167,BRC0129K,Colher sobremesa cheia,10.00
168,BRC0129K,Colher sobremesa rasa,7.00
169,BRC0129K,Colher sopa cheia,15.00
170,BRC0129K,Colher sopa rasa,10.00
171,BRC0101N,Colher sopa rasa,10.00
172,BRC0004K,Colher café cheia,2.00
173,BRC0004K,Colher café rasa,1.00
174,BRC0004K,Colher chá cheia,5.00
175,BRC0004K,Colher chá rasa,3.00
176,BRC0004K,Colher sobremesa cheia,16.00
177,BRC0004K,Colher sobremesa rasa,9.00
178,BRC0004K,Colher sopa cheia,24.00
179,BRC0004K,Colher sopa rasa,15.00
180,BRC0004K,Xícara chá,170.00
181,BRC0005K,Colher café cheia,2.00
182,BRC0005K,Colher café rasa,1.00
183,BRC0005K,Colher chá cheia,5.00
184,BRC0005K,Colher chá rasa,3.00
185,BRC0005K,Colher sobremesa cheia,16.00
186,BRC0005K,Colher sobremesa rasa,9.00
187,BRC0005K,Colher sopa cheia,24.00
188,BRC0005K,Colher sopa rasa,15.00
189,BRC0005K,Copo americano duplo,219.00
190,BRC0005K,Copo americano pequeno,160.00
191,BRC0005K,Xícara chá,170.00
192,BRC0704N,Colher café cheia,2.00
193,BRC0704N,Colher café rasa,1.00
194,BRC0704N,Colher chá cheia,5.00
195,BRC0704N,Colher chá rasa,3.00
196,BRC0704N,Colher sobremesa cheia,16.00
197,BRC0704N,Colher sobremesa rasa,9.00
198,BRC0704N,Colher sopa cheia,24.00
199,BRC0704N,Colher sopa rasa,15.00
200,BRC0704N,Copo americano duplo,219.00
201,BRC0704N,Copo americano pequeno,160.00
202,BRC0704N,Xícara chá,170.00
203,BRC0703N,Colher café cheia,2.00
204,BRC0703N,Colher café rasa,1.00
205,BRC0703N,Colher chá cheia,5.00
206,BRC0703N,Colher chá rasa,3.00
207,BRC0703N,Colher sobremesa cheia,16.00
208,BRC0703N,Colher sobremesa rasa,9.00
209,BRC0703N,Colher sopa cheia,24.00
210,BRC0703N,Colher sopa rasa,15.00
211,BRC0703N,Xícara chá,170.00
212,BRC0006K,Colher café rasa,1.00
213,BRC0006K,Colher chá cheia,4.00
214,BRC0006K,Colher sobremesa rasa,7.00
215,BRC0006K,Colher sopa cheia,19.00
216,BRC0006K,Colher sopa rasa,11.00
217,BRC0006K,Xícara chá,170.00
218,BRC0232K,Colher sopa rasa,15.00
219,BRC0007K,Colher café cheia,2.00
220,BRC0007K,Colher café rasa,1.00
221,BRC0007K,Colher chá cheia,5.00
222,BRC0007K,Colher chá rasa,3.00
223,BRC0007K,Colher sobremesa cheia,16.00
224,BRC0007K,Colher sobremesa rasa,9.00
225,BRC0007K,Colher sopa cheia,24.00
226,BRC0007K,Colher sopa rasa,15.00
227,BRC0007K,Copo americano duplo,219.00
228,BRC0007K,Copo americano pequeno,160.00
229,BRC0007K,Xícara chá,170.00
230,BRC0090N,Colher café cheia,4.00
231,BRC0090N,Colher café rasa,1.00
232,BRC0042N,Colher café cheia,4.00
233,BRC0042N,Colher café rasa,1.00
234,BRC0056N,Colher café cheia,4.00
235,BRC0056N,Colher café rasa,1.00
236,BRC0220B,Colher sopa cheia,25.00
237,BRC0219B,Colher sopa cheia,25.00
238,BRC0914B,Colher sopa cheia,20.00
239,BRC0162B,Colher sopa cheia,25.00
240,BRC0008B,Colher sopa cheia,7.00
241,BRC0175H,Copo americano pequeno,165.00
242,BRC0214B,Colher sopa cheia,25.00
243,BRC0213B,Colher sopa cheia,25.00
244,BRC0065B,Colher sopa cheia,19.00
245,BRC0216B,Colher sopa cheia,25.00
246,BRC0215B,Colher sopa cheia,25.00
247,BRC0915B,Pedaço/ Unidade/ Fatia (M),90.00
248,BRC0460B,Pedaço/ Unidade/ Fatia (M),50.00
249,BRC1117B,Unidade média,90.00
250,BRC0703B,Colher sopa rasa,30.00
251,BRC0824B,Colher café cheia,4.00
252,BRC0824B,Colher café rasa,1.00
253,BRC0063B,Colher sopa cheia,8.00
254,BRC0060B,Colher sopa cheia,8.00
255,BRC0009B,Colher servir rasa,22.00
256,BRC0009B,Colher sopa cheia,8.00
257,BRC0061B,Colher sopa cheia,8.00
258,BRC0062B,Colher sopa cheia,8.00
259,BRC0067B,Colher sopa cheia,6.00
260,BRC0067B,Colher sopa rasa,4.00
261,BRC1061B,Colher sopa rasa,14.00
262,BRC0222K,Porção média,50.00
263,BRC0115B,Colher sopa cheia,24.00
264,BRC0115B,Colher sopa rasa,19.00
265,BRC0010B,Colher sopa cheia,24.00
266,BRC0010B,Colher sopa rasa,19.00
267,BRC1074B,Colher café cheia,4.00
268,BRC1074B,Colher café rasa,1.00
269,BRC0113B,Colher sopa cheia,24.00
270,BRC0113B,Colher sopa rasa,19.00
271,BRC0714B,Colher sopa cheia,30.00
272,BRC0068B,Colher sopa cheia,19.00
273,BRC0068B,Colher sopa rasa,12.00
274,BRC0011B,Colher sopa cheia,6.00
275,BRC0011B,Colher sopa rasa,3.00
276,BRC0105B,Colher servir rasa,30.00
277,BRC0105B,Colher sopa rasa,10.00
278,BRC0149B,Colher sopa cheia,25.00
279,BRC0210B,Colher sopa cheia,25.00
280,BRC0209B,Colher sopa cheia,25.00
281,BRC0206T,Pedaço/ Unidade/ Fatia (M),50.00
282,BRC0206T,Porção média,100.00
283,BRC0205T,Pedaço/ Unidade/ Fatia (M),50.00
284,BRC0205T,Porção média,100.00
285,BRC0204T,Pedaço/ Unidade/ Fatia (M),50.00
286,BRC0204T,Porção média,100.00
287,BRC0887F,Pedaço/ Unidade/ Fatia (M),50.00
288,BRC0887F,Porção média,100.00
289,BRC1097F,Porção média,100.00
290,BRC0990F,Pedaço/ Unidade/ Fatia (M),50.00
291,BRC0991F,Porção média,100.00
292,BRC0002F,Pedaço/ Unidade/ Fatia (M),45.00
293,BRC0003F,Pedaço/ Unidade/ Fatia (M),45.00
294,BRC0001F,Pedaço/ Unidade/ Fatia (M),45.00
295,BRC0004F,Pedaço/ Unidade/ Fatia (M),50.00
296,BRC0401A,Colher sopa cheia,25.00
297,BRC0400A,Colher sopa cheia,25.00
298,BRC0213K,Pedaço/ Unidade/ Fatia (M),50.00
299,BRC0005C,Pedaço/ Unidade/ Fatia (M),45.00
300,BRC0186C,Pedaço/ Unidade/ Fatia (M),50.00
301,BRC0181C,Porção média,30.00
302,BRC0011U,Porção média,30.00
303,BRC0001U,Porção média,30.00
304,BRC0018U,Pedaço/ Unidade/ Fatia (M),30.00
305,BRC0192T,Pedaço/ Unidade/ Fatia (M),30.00
306,BRC0020T,Colher sopa cheia,19.00
307,BRC0020T,Colher sopa rasa,13.00
308,BRC0021T,Colher sopa cheia,19.00
309,BRC0021T,Colher sopa rasa,14.00
310,BRC0170C,Xícara chá,100.00
311,BRC0265T,Porção média,25.00
312,BRC0033T,Pedaço/ Unidade/ Fatia (M),50.00
313,BRC0034T,Pedaço/ Unidade/ Fatia (M),50.00
314,BRC0038T,Pedaço/ Unidade/ Fatia (M),40.00
315,BRC0669A,Porção média,100.00
316,BRC0816B,Porção média,100.00
317,BRC1108B,Unidade média,5.00
318,BRC0006F,Pedaço/ Unidade/ Fatia (M),20.00
319,BRC0007F,Pedaço/ Unidade/ Fatia (M),20.00
320,BRC0008F,Pedaço/ Unidade/ Fatia (M),20.00
321,BRC0009F,Pedaço/ Unidade/ Fatia (M),20.00
322,BRC0228C,Porção média,50.00
323,BRC1221A,Colher sopa rasa,6.00
324,BRC0506A,Colher servir cheia,55.00
325,BRC0506A,Colher servir rasa,40.00
326,BRC0858A,Colher servir cheia,55.00
327,BRC0858A,Colher servir rasa,40.00
328,BRC0503A,Colher servir cheia,55.00
329,BRC0503A,Colher servir rasa,40.00
330,BRC0504A,Colher servir cheia,55.00
331,BRC0504A,Colher servir rasa,40.00
332,BRC0716A,Colher servir cheia,55.00
333,BRC0716A,Colher servir rasa,40.00
334,BRC1116A,Colher servir cheia,55.00
335,BRC0511A,Colher servir cheia,55.00
336,BRC0511A,Colher servir rasa,40.00
337,BRC0512A,Colher servir cheia,55.00
338,BRC0512A,Colher servir rasa,40.00
339,BRC0509A,Colher servir cheia,55.00
340,BRC0509A,Colher servir rasa,40.00
341,BRC0510A,Colher servir cheia,55.00
342,BRC0510A,Colher servir rasa,40.00
343,BRC0887A,Colher servir cheia,55.00
344,BRC0187A,Colher servir cheia,55.00
345,BRC0514A,Colher servir cheia,55.00
346,BRC0514A,Colher servir rasa,40.00
347,BRC0515A,Colher servir cheia,55.00
348,BRC0515A,Colher servir rasa,40.00
349,BRC0717A,Colher servir cheia,55.00
350,BRC0717A,Colher servir rasa,40.00
351,BRC0513A,Colher servir cheia,55.00
352,BRC0513A,Colher servir rasa,40.00
353,BRC1025A,Colher servir rasa,40.00
354,BRC1026A,Colher servir cheia,55.00
355,BRC1026A,Colher servir rasa,40.00
356,BRC0931A,Colher servir cheia,55.00
357,BRC0931A,Colher servir rasa,40.00
358,BRC0929A,Colher servir cheia,55.00
359,BRC0929A,Colher servir rasa,40.00
360,BRC0930A,Colher servir cheia,55.00
361,BRC0930A,Colher servir rasa,40.00
362,BRC0547A,Colher servir cheia,55.00
363,BRC0547A,Colher servir rasa,40.00
364,BRC0548A,Colher servir cheia,55.00
365,BRC0548A,Colher servir rasa,40.00
366,BRC0545A,Colher servir cheia,55.00
367,BRC0545A,Colher servir rasa,40.00
368,BRC0546A,Colher servir cheia,55.00
369,BRC0546A,Colher servir rasa,40.00
370,BRC1029A,Colher servir rasa,40.00
371,BRC1030A,Colher servir rasa,40.00
372,BRC1027A,Colher servir rasa,40.00
373,BRC1028A,Colher servir rasa,40.00
374,BRC0539A,Colher servir cheia,55.00
375,BRC0539A,Colher servir rasa,40.00
376,BRC0540A,Colher servir cheia,55.00
377,BRC0540A,Colher servir rasa,40.00
378,BRC0551A,Colher servir cheia,55.00
379,BRC0551A,Colher servir rasa,40.00
380,BRC0552A,Colher servir cheia,55.00
381,BRC0552A,Colher servir rasa,40.00
382,BRC0549A,Colher servir cheia,55.00
383,BRC0549A,Colher servir rasa,40.00
384,BRC0550A,Colher servir cheia,55.00
385,BRC0550A,Colher servir rasa,40.00
386,BRC0934A,Colher servir cheia,55.00
387,BRC0934A,Colher servir rasa,40.00
388,BRC0935A,Colher servir cheia,55.00
389,BRC0935A,Colher servir rasa,40.00
390,BRC0932A,Colher servir cheia,55.00
391,BRC0932A,Colher sobremesa rasa,40.00
392,BRC0933A,Colher servir cheia,55.00
393,BRC0933A,Colher servir rasa,40.00
394,BRC0724A,Colher servir cheia,55.00
395,BRC0724A,Colher servir rasa,40.00
396,BRC0725A,Colher servir cheia,55.00
397,BRC0725A,Colher servir rasa,40.00
398,BRC0722A,Colher servir cheia,55.00
399,BRC0722A,Colher servir rasa,40.00
400,BRC0723A,Colher servir cheia,55.00
401,BRC0723A,Colher servir rasa,40.00
402,BRC0543A,Colher servir cheia,55.00
403,BRC0543A,Colher servir rasa,40.00
404,BRC0544A,Colher servir cheia,55.00
405,BRC0544A,Colher servir rasa,40.00
406,BRC0541A,Colher servir cheia,55.00
407,BRC0541A,Colher servir rasa,40.00
408,BRC0542A,Colher servir cheia,55.00
409,BRC0542A,Colher servir rasa,40.00
410,BRC0522A,Colher servir cheia,55.00
411,BRC0522A,Colher servir rasa,40.00
412,BRC0523A,Colher servir cheia,55.00
413,BRC0523A,Colher servir rasa,40.00
414,BRC0520A,Colher servir cheia,60.00
415,BRC0520A,Colher servir rasa,45.00
416,BRC0521A,Colher servir cheia,55.00
417,BRC0521A,Colher servir rasa,40.00
418,BRC0720A,Colher servir cheia,55.00
419,BRC0720A,Colher servir rasa,40.00
420,BRC0721A,Colher servir cheia,55.00
421,BRC0721A,Colher servir rasa,40.00
422,BRC0718A,Colher servir cheia,55.00
423,BRC0718A,Colher servir rasa,40.00
424,BRC0719A,Colher servir cheia,55.00
425,BRC0719A,Colher servir rasa,40.00
426,BRC0526A,Colher servir cheia,55.00
427,BRC0526A,Colher servir rasa,40.00
428,BRC0527A,Colher servir cheia,55.00
429,BRC0527A,Colher servir rasa,40.00
430,BRC0524A,Colher servir cheia,55.00
431,BRC0524A,Colher servir rasa,40.00
432,BRC0525A,Colher servir cheia,55.00
433,BRC0525A,Colher servir rasa,40.00
434,BRC0528A,Colher servir cheia,55.00
435,BRC0528A,Colher servir rasa,40.00
436,BRC0529A,Colher servir cheia,55.00
437,BRC0529A,Colher servir rasa,40.00
438,BRC0532A,Colher servir cheia,55.00
439,BRC0532A,Colher servir rasa,40.00
440,BRC0533A,Colher servir cheia,55.00
441,BRC0533A,Colher servir rasa,40.00
442,BRC0530A,Colher servir cheia,55.00
443,BRC0530A,Colher servir rasa,40.00
444,BRC0531A,Colher servir cheia,55.00
445,BRC0531A,Colher servir rasa,40.00
446,BRC0731A,Colher servir cheia,55.00
447,BRC0731A,Colher servir rasa,40.00
448,BRC0714A,Colher servir cheia,55.00
449,BRC0714A,Colher servir rasa,40.00
450,BRC0715A,Colher servir cheia,55.00
451,BRC0715A,Colher servir rasa,40.00
452,BRC0534A,Colher servir cheia,55.00
453,BRC0534A,Colher servir rasa,40.00
454,BRC0535A,Colher servir cheia,55.00
455,BRC0535A,Colher servir rasa,40.00
456,BRC0536A,Colher servir cheia,55.00
457,BRC0536A,Colher servir rasa,40.00
458,BRC0537A,Colher servir cheia,55.00
459,BRC0537A,Colher servir rasa,40.00
460,BRC0518A,Colher servir cheia,55.00
461,BRC0518A,Colher servir rasa,40.00
462,BRC0519A,Colher servir cheia,55.00
463,BRC0519A,Colher servir rasa,40.00
464,BRC0516A,Colher servir cheia,55.00
465,BRC0516A,Colher servir rasa,40.00
466,BRC0517A,Colher servir cheia,55.00
467,BRC0517A,Colher servir rasa,40.00
468,BRC0728A,Colher servir cheia,55.00
469,BRC0728A,Colher servir rasa,40.00
470,BRC0729A,Colher servir cheia,55.00
471,BRC0729A,Colher servir rasa,40.00
472,BRC0726A,Colher servir cheia,55.00
473,BRC0726A,Colher servir rasa,40.00
474,BRC0727A,Colher servir cheia,55.00
475,BRC0727A,Colher servir rasa,40.00
476,BRC0538A,Colher servir cheia,55.00
477,BRC0538A,Colher servir rasa,40.00
478,BRC0901A,Colher servir cheia,55.00
479,BRC0901A,Colher servir rasa,40.00
480,BRC0902A,Colher servir cheia,55.00
481,BRC0902A,Colher servir rasa,40.00
482,BRC0505A,Colher servir cheia,55.00
483,BRC0505A,Colher servir rasa,40.00
484,BRC0555A,Colher servir cheia,55.00
485,BRC0555A,Colher servir rasa,40.00
486,BRC0556A,Colher servir cheia,55.00
487,BRC0556A,Colher servir rasa,40.00
488,BRC0553A,Colher servir cheia,55.00
489,BRC0553A,Colher servir rasa,40.00
490,BRC0554A,Colher servir cheia,55.00
491,BRC0554A,Colher servir rasa,40.00
492,BRC0997A,Colher servir cheia,55.00
493,BRC0997A,Colher servir rasa,40.00
494,BRC0805A,Colher servir cheia,55.00
495,BRC0805A,Colher servir rasa,40.00
496,BRC0913A,Colher servir cheia,60.00
497,BRC0913A,Colher servir rasa,40.00
498,BRC0806A,Colher servir cheia,60.00
499,BRC0806A,Colher servir rasa,40.00
500,BRC0914A,Colher servir cheia,60.00
501,BRC0914A,Colher servir rasa,40.00
502,BRC0897A,Colher servir cheia,60.00
503,BRC0897A,Colher servir rasa,40.00
504,BRC0100N,Colher servir cheia,60.00
505,BRC0100N,Colher servir rasa,40.00
506,BRC0092N,Colher servir cheia,60.00
507,BRC0092N,Colher servir rasa,40.00
508,BRC1212A,Colher sopa cheia,25.00
509,BRC0899A,Colher servir cheia,55.00
510,BRC0899A,Colher servir rasa,40.00
511,BRC0900A,Colher servir cheia,55.00
512,BRC0900A,Colher servir rasa,40.00
513,BRC0574A,Colher servir cheia,55.00
514,BRC0574A,Colher servir rasa,40.00
515,BRC0711A,Colher sopa rasa,25.00
516,BRC0209A,Colher servir cheia,55.00
517,BRC0209A,Colher sopa cheia,20.00
518,BRC0018A,Colher servir cheia,55.00
519,BRC0018A,Colher sopa cheia,20.00
520,BRC0018A,Escumadeira cheia,85.00
521,BRC0995A,Colher servir cheia,55.00
522,BRC0995A,Colher servir rasa,40.00
523,BRC0996A,Colher servir cheia,55.00
524,BRC0996A,Colher servir rasa,40.00
525,BRC0994A,Colher servir cheia,55.00
526,BRC0994A,Colher servir rasa,40.00
527,BRC0015A,Colher sopa cheia,15.00
528,BRC1115A,Colher sopa cheia,20.00
529,BRC0456A,Colher servir cheia,90.00
530,BRC0457A,Colher servir cheia,55.00
531,BRC0457A,Colher servir rasa,40.00
532,BRC0458A,Colher sopa cheia,55.00
533,BRC0458A,Colher sopa rasa,40.00
534,BRC0012A,Colher sopa cheia,25.00
535,BRC0792A,Colher servir rasa,12.00
536,BRC0792A,Colher sopa cheia,20.00
537,BRC0013A,Colher sopa rasa,10.00
538,BRC0014A,Colher sopa cheia,15.00
539,BRC0211A,Colher servir cheia,55.00
540,BRC0211A,Colher sopa cheia,20.00
541,BRC0210A,Colher servir cheia,55.00
542,BRC0210A,Colher sopa cheia,20.00
543,BRC0016A,Colher servir cheia,55.00
544,BRC0016A,Colher sopa cheia,20.00
545,BRC0016A,Escumadeira cheia,85.00
546,BRC0017A,Colher sopa cheia,23.00
547,BRC0017A,Colher sopa rasa,17.00
548,BRC1210A,Colher servir rasa,55.00
549,BRC0208A,Colher servir cheia,55.00
550,BRC0208A,Colher sopa cheia,20.00
551,BRC0001A,Colher sopa cheia,23.00
552,BRC0001A,Colher sopa rasa,17.00
553,BRC1211A,Colher sopa cheia,25.00
554,BRC0136T,Porção média,100.00
555,BRC0507F,Porção média,100.00
556,BRC0508F,Porção média,110.00
557,BRC1113F,Porção média,100.00
558,BRC0462B,Porção média,50.00
559,BRC0922B,Pedaço/ Unidade/ Fatia (M),80.00
560,BRC1164B,Porção média,70.00
561,BRC0461B,Porção média,70.00
562,BRC0070C,Pedaço/ Unidade/ Fatia (M),60.00
563,BRC0942F,Pedaço/ Unidade/ Fatia (M),110.00
564,BRC0943F,Pedaço/ Unidade/ Fatia (M),110.00
565,BRC0019A,Colher sopa cheia,25.00
566,BRC0021A,Colher chá cheia,4.00
567,BRC0021A,Colher sobremesa cheia,7.00
568,BRC0021A,Colher sobremesa rasa,5.00
569,BRC0021A,Colher sopa cheia,15.00
570,BRC0021A,Colher sopa rasa,7.00
571,BRC0020A,Colher sopa cheia,25.00
572,BRC0022A,Colher sopa cheia,15.00
573,BRC0023A,Colher sopa cheia,15.00
574,BRC0024A,Colher chá cheia,4.00
575,BRC0024A,Colher sobremesa cheia,7.00
576,BRC0024A,Colher sobremesa rasa,5.00
577,BRC0024A,Colher sopa cheia,15.00
578,BRC0024A,Colher sopa rasa,7.00
579,BRC0026A,Colher chá cheia,4.00
580,BRC0026A,Colher sobremesa cheia,7.00
581,BRC0026A,Colher sobremesa rasa,5.00
582,BRC0026A,Colher sopa cheia,15.00
583,BRC0026A,Colher sopa rasa,7.00
584,BRC0025A,Colher chá cheia,4.00
585,BRC0025A,Colher sobremesa cheia,7.00
586,BRC0025A,Colher sobremesa rasa,5.00
587,BRC0025A,Colher sopa cheia,15.00
588,BRC0025A,Colher sopa rasa,7.00
589,BRC0013U,Pedaço/ Unidade/ Fatia (M),30.00
590,BRC0213C,Colher sopa cheia,45.00
591,BRC0213C,Pedaço/ Unidade/ Fatia (M),370.00
592,BRC0213C,Prato fundo,450.00
593,BRC0213C,Prato raso,350.00
594,BRC0001D,Colher café rasa,1.00
595,BRC0001D,Colher chá rasa,2.00
596,BRC0001D,Colher sobremesa rasa,5.00
597,BRC0001D,Colher sopa rasa,8.00
598,BRC0049D,Colher sobremesa rasa,8.00
599,BRC0002D,Colher café rasa,1.00
600,BRC0002D,Colher chá rasa,2.00
601,BRC0002D,Colher sobremesa rasa,5.00
602,BRC0002D,Colher sopa rasa,8.00
603,BRC0039D,Colher sobremesa rasa,8.00
604,BRC0044D,Colher sobremesa rasa,8.00
