id,code,url,portuguese_name,name,cientific_name,group,brand
1,BRC0001C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=QagWPGGLCefQ%2BGqdjKbs2w%3D%3D,"Abacate, polpa, in natura, Brasil","Abacate, polpa, in natura, Brasil",Persea americana Mill,Frutas e derivados,
2,BRC0195C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=km%2FIA0SDyRfAZKBmCvKaeA%3D%3D,"Abacaxi, cozido, caramelizado, Brasil","Abacaxi, cozido, caramelizado, Brasil",,Frutas e derivados,
3,BRC0300C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=yYmpnZ5nMjVlnC0Lek1TMA%3D%3D,"Abacaxi, grelhado, c/ cobertura de chocolate ao leite, Brasil","Abacaxi, grelhado, c/ cobertura de chocolate ao leite, Brasil",,Frutas e derivados,
4,BRC0054C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=%2BxMzBaSgDxmReRynhjIoHg%3D%3D,"Abacaxi, polpa, congelada, Brasil","Abacaxi, polpa, congelada, Brasil",Ananas comosus L.,Frutas e derivados,
5,BRC0264C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=YCNl1YF7AgYTBCzYTuKkLQ%3D%3D,"Abacaxi, polpa, desidratada, Brasil","Abacaxi, polpa, desidratada, Brasil",Ananas comosus,Frutas e derivados,
6,BRC0218C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=2VgAJkit840mkxVQBS4GIQ%3D%3D,"Abacaxi, polpa, grelhado,  s/ açúcar, c/ canela, Brasil","Abacaxi, polpa, grelhado,  s/ açúcar, c/ canela, Brasil",,Frutas e derivados,
7,BRC0002C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=lK2EzSMttYkJXEBRRJ2pGA%3D%3D,"Abacaxi, polpa, in natura, Brasil","Abacaxi, polpa, in natura, Brasil",Ananas comosus L.,Frutas e derivados,
8,BRC0069C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=4amVDrBo4B57%2BVYEOPVnRA%3D%3D,"Abiu, in natura, Brasil","Abiu, in natura, Brasil",Lucuma caimito (Ruiz & Pav.) Roem & Schult,Frutas e derivados,
9,BRC0680B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Dd67z8unllxq3TkbQUdTFg%3D%3D,"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal","Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal",,Vegetais e derivados,
10,BRC0059B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=9DquReG8qik3iGFJw%2FBgDA%3D%3D,"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil","Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",Cucurbita maxima x Cucurbita moschata,Vegetais e derivados,
11,BRC0002B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=B47Gq5LLTd69nLYrvcdtwQ%3D%3D,"Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Brasil","Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Brasil",Cucurbita maxima x Cucurbita moschata,Vegetais e derivados,
12,BRC0003B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=HEZauCF6J2H5y1Q5XsOHhA%3D%3D,"Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Brasil","Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Brasil",Cucurbita moschata,Vegetais e derivados,
13,BRC0151B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=75tgzCd1cWWqya0fQhcK0Q%3D%3D,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal","Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal",,Vegetais e derivados,
14,BRC0101B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=4ZrWRAvZVyY46UinTyoVEg%3D%3D,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal","Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal",Cucurbita maxima,Vegetais e derivados,
15,BRC0270B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=z1HuD7Z91Syldg2ggkEolw%3D%3D,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal","Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal",Curcubita spp.,Vegetais e derivados,
16,BRC0269B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=WKSx1oTQ1YRGctjjxvAYew%3D%3D,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal","Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal",Curcubita spp.,Vegetais e derivados,
17,BRC0355B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Ff0HrHW9SiMZ27f4ZWh2ZQ%3D%3D,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, Brasil","Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, Brasil",Cucurbita pepo L.,Vegetais e derivados,
18,BRC0354B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=872WfY24tyqIcVV9JmIGRw%3D%3D,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal, Brasil","Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal, Brasil",,Vegetais e derivados,
19,BRC0226B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=dKFI7rPABvnerNEB%2B%2Bu4JA%3D%3D,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal","Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal",,Vegetais e derivados,
20,BRC0225B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=nPXR7MXtuiXCpweHKfbjLQ%3D%3D,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal","Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal",,Vegetais e derivados,
21,BRC0166B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=mw1eX5YqZ5Z4HDK0xaG6qA%3D%3D,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal","Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",,Vegetais e derivados,
22,BRC0165B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=T6Uwk0mEi88r8FN1AGWWIw%3D%3D,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil","Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil",Cucurbita pepo L.,Vegetais e derivados,
23,BRC0004B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=1qgvHAaRNJ4yh%2FDNJWQkIQ%3D%3D,"Abóbora, moranga, s/ casca, s/ sementes, crua, Brasil","Abóbora, moranga, s/ casca, s/ sementes, crua, Brasil",Curcubita spp.,Vegetais e derivados,
24,BRC0064B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=nWyDDs%2B1MYuhZKfhsWF70A%3D%3D,"Abóbora, paulista, crua, Brasil","Abóbora, paulista, crua, Brasil",Cucurbita maxima Duchesne,Vegetais e derivados,
25,BRC0228B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=j8BcCz5k0iZ7B6zVwr0J6Q%3D%3D,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal","Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",,Vegetais e derivados,
26,BRC0227B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=HAnjllMM7U1HMHAtAE4SQA%3D%3D,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil","Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil",Cucurbita moschata,Vegetais e derivados,
27,BRC0005B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=3M4IJrpJVwazKu3kmLcV3Q%3D%3D,"Abóbora, pescoço, s/ casca, s/ sementes, crua, Brasil","Abóbora, pescoço, s/ casca, s/ sementes, crua, Brasil",Cucurbita moschata,Vegetais e derivados,
28,BRC0001B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=MnK9kLFJbGtqCoJVUdbQdw%3D%3D,"Abóbora, s/ casca, s/ sementes, crua, Brasil","Abóbora, s/ casca, s/ sementes, crua, Brasil",Curcubita spp.,Vegetais e derivados,
29,BRC0725B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=bKomLsJ2Cbq4IXoaV%2FIuHw%3D%3D,"Abobrinha recheada, c/ sal","Abobrinha recheada, c/ sal",,Vegetais e derivados,
30,BRC0266B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=SrEKCybjRihFjjLOW9rg6Q%3D%3D,"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal","Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal",,Vegetais e derivados,
31,BRC0265B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=XEXBQnbEc4Qqx1Pl7tXOAQ%3D%3D,"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal","Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal",,Vegetais e derivados,
32,BRC0232B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=oLK5jgLtRzb0whhC7rdrFg%3D%3D,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal","Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal",,Vegetais e derivados,
33,BRC0231B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=lGBcsUTxzBa%2FD9nh8OXmyA%3D%3D,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal","Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal",,Vegetais e derivados,
34,BRC0152B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=vHTObuDDZGYs19%2BnAIhDhw%3D%3D,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal","Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal",,Vegetais e derivados,
35,BRC0040B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=YjQ45kcZvW4hAk7D3zTaow%3D%3D,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil","Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",Curcubita pepo L.,Vegetais e derivados,
36,BRC0006B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=y1UzktSu5EasokVnjViZwg%3D%3D,"Abobrinha, italiana, c/ casca, crua, Brasil","Abobrinha, italiana, c/ casca, crua, Brasil",Cucurbita pepo L.,Vegetais e derivados,
37,BRC0264B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=oq2KqfapNUDzH3DwTMFaqw%3D%3D,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal","Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal",,Vegetais e derivados,
38,BRC0263B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=4%2BoJCGBHVDA8m%2F57snLscw%3D%3D,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal, Brasil","Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal, Brasil",Cucurbita pepo,Vegetais e derivados,
39,BRC0153B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=ZFnE7YHqHuuSwwNOb1ZHaA%3D%3D,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal","Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",,Vegetais e derivados,
40,BRC0104B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=jGXWJMBJULD%2Fy%2Fj5PWfMMQ%3D%3D,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal","Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal",Curcubita pepo L.,Vegetais e derivados,
41,BRC0800B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=jkejKUCtyKd4xK%2BLDOSb%2FQ%3D%3D,"Açafrão, pistilo, in natura (dado importado)","Açafrão, pistilo, in natura (dado importado)",Crocus sativus,Vegetais e derivados,
42,BRC0003C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=IJF4nGtnoyLps7xO7m103g%3D%3D,"Açaí, polpa (média de amostras), Brasil","Açaí, polpa (média de amostras), Brasil",Euterpe oleracea Mart.,Frutas e derivados,
43,BRC0185C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=e1KyIdpBrbFFbuiEe6V6Kw%3D%3D,"Açaí, polpa, Brasil","Açaí, polpa, Brasil",Euterpe precatoria,Frutas e derivados,
44,BRC0201C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=jah8BqoUlVvg%2F9SKHClBCg%3D%3D,"Açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa","Açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa",,Frutas e derivados,
45,BRC0177C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=noFxr2mSe5WYbTqDYZsqnA%3D%3D,"Açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira","Açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira",,Frutas e derivados,
46,BRC0095C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=9D0Yc17bU%2Bl%2BnZfQO5HqWQ%3D%3D,"Açaí, polpa, com xarope de guaraná e glucose","Açaí, polpa, com xarope de guaraná e glucose",,Frutas e derivados,
47,BRC0203T,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=CNiaywnAQdMxKaZuH4iwKQ%3D%3D,"Acarajé, c/ sal","Acarajé, c/ sal",,Leguminosas e derivados,
48,BRC0061T,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=9ePtktKD40yiNPjszzL3oQ%3D%3D,"Acarajé, s/ sal","Acarajé, s/ sal",,Leguminosas e derivados,
49,BRC0212B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=eiYzOJM9%2Bf2bJ%2Bk6wYZQrw%3D%3D,"Acelga, cozida, drenada, s/ óleo, c/ sal, Brasil","Acelga, cozida, drenada, s/ óleo, c/ sal, Brasil",Beta vulgaris,Vegetais e derivados,
50,BRC0211B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=wqg%2F8U24Eq4zdn%2F84Fvueg%3D%3D,"Acelga, cozida, drenada, s/ óleo, s/ sal, Brasil","Acelga, cozida, drenada, s/ óleo, s/ sal, Brasil",Beta vulgaris,Vegetais e derivados,
51,BRC0007B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=6cfeU7nuGOI%2F0ys0Br3PwA%3D%3D,"Acelga, crua, Brasil","Acelga, crua, Brasil",,Vegetais e derivados,
52,BRC0202B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=77037hjdZHMmkYU0C8vbcQ%3D%3D,"Acelga, refogada (c/ óleo, cebola e alho), c/ sal","Acelga, refogada (c/ óleo, cebola e alho), c/ sal",,Vegetais e derivados,
53,BRC0201B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=e42y83JMX3fS9veMTe7iuA%3D%3D,"Acelga, refogada, (c/ óleo, cebola e alho), s/ sal","Acelga, refogada, (c/ óleo, cebola e alho), s/ sal",,Vegetais e derivados,
54,BRC0004C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=MHB%2FMSN8lxZs9gJPLzL%2FMg%3D%3D,"Acerola, madura, polpa, Brasil","Acerola, madura, polpa, Brasil",Malpighia spp.,Frutas e derivados,
55,BRC0001K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=OSh7YczycY%2Fpks%2F%2B98IBig%3D%3D,"Achocolatado, em pó (média diferentes amostras), Brasil","Achocolatado, em pó (média diferentes amostras), Brasil",,Açúcares e doces,
56,BRC0002K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=wKViCJswMoz3pdY4KOh7vA%3D%3D,"Achocolatado, em pó, Brasil","Achocolatado, em pó, Brasil",,Açúcares e doces,Nescau
57,BRC0003K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=ArSJGKSWXIUgNZvcg3PgUQ%3D%3D,"Achocolatado, em pó, Brasil","Achocolatado, em pó, Brasil",,Açúcares e doces,Toddy
58,BRC0129K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=WMXNpBvgjHAo1zj2%2FLw4BA%3D%3D,"Achocolatado, em pó, c/ flocos, tipo Ovomaltine (dado importado)","Achocolatado, em pó, c/ flocos, tipo Ovomaltine (dado importado)",,Açúcares e doces,Ovomaltine
59,BRC0101N,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=OpAkhnvvTsLiXLhvyjfYDw%3D%3D,"Achocolatado, em pó, sem adição de açúcar","Achocolatado, em pó, sem adição de açúcar",,Alimentos para fins especiais,
60,BRC0004K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=cHXr0Gketu%2FaDZg3ifXSew%3D%3D,"Açúcar, Brasil (média de diferentes tipos)","Açúcar, Brasil (média de diferentes tipos)",,Açúcares e doces,
61,BRC0005K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=yyZv8p9LKaUH1QAsk%2FpTmg%3D%3D,"Açúcar, cristal, Brasil","Açúcar, cristal, Brasil",,Açúcares e doces,
62,BRC0704N,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=tStieREwMZvdkls7Yxhneg%3D%3D,"Açúcar, light (20% sacarose + edulcorante), Brasil","Açúcar, light (20% sacarose + edulcorante), Brasil",,Alimentos para fins especiais,
63,BRC0703N,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=6KUybijpZsW3T0CviXwFug%3D%3D,"Açúcar, light (50% sacarose ou maltodextrina + edulcorante), Brasil","Açúcar, light (50% sacarose ou maltodextrina + edulcorante), Brasil",,Alimentos para fins especiais,
64,BRC0006K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=4wpXogwA4ZDyIQG%2B%2BEdEMQ%3D%3D,"Açúcar, mascavo, Brasil","Açúcar, mascavo, Brasil",,Açúcares e doces,
65,BRC0232K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=U9%2B4MeZE2C5s5Qnr0o0cxw%3D%3D,"Açúcar, pó (confeiteiro, impalpável) (dado importado)","Açúcar, pó (confeiteiro, impalpável) (dado importado)",,Açúcares e doces,
66,BRC0007K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=cwAya2y9UBmnF2fOnOsS%2Fg%3D%3D,"Açúcar, refinado, Brasil (média de diferentes amostras)","Açúcar, refinado, Brasil (média de diferentes amostras)",,Açúcares e doces,
67,BRC0090N,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=EX%2BiNOJYXB6DCw0uzOwDYg%3D%3D,"Adoçante, aspartame, em pó (dado importado)","Adoçante, aspartame, em pó (dado importado)",,Alimentos para fins especiais,
68,BRC0042N,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=4zYYPEtlGIfgzvXNw9JTQg%3D%3D,"Adoçante, sacarina, em pó (dado importado)","Adoçante, sacarina, em pó (dado importado)",,Alimentos para fins especiais,
69,BRC0056N,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=24I%2BD%2BESIo60IKn5xLvf2Q%3D%3D,"Adoçante, sucralose, em pó (dado importado)","Adoçante, sucralose, em pó (dado importado)",,Alimentos para fins especiais,
70,BRC0220B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=cUGQHr9hxXVKExTMmsjw9w%3D%3D,"Agrião, cozido, drenado, c/ óleo de soja, c/ sal","Agrião, cozido, drenado, c/ óleo de soja, c/ sal",,Vegetais e derivados,
71,BRC0219B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=arzFwDOzvACVq0Ytx0hQ%2Fg%3D%3D,"Agrião, cozido, drenado, c/ óleo de soja, s/ sal","Agrião, cozido, drenado, c/ óleo de soja, s/ sal",,Vegetais e derivados,
72,BRC0914B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=IFzpXMCJPNkgP%2BtxnzaQIQ%3D%3D,"Agrião, cozido, drenado, s/ óleo, c/ sal","Agrião, cozido, drenado, s/ óleo, c/ sal",,Vegetais e derivados,
73,BRC0162B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=F6f7t1TJxPOYQEaRC%2B5glw%3D%3D,"Agrião, cozido, drenado, s/ óleo, s/ sal, Brasil","Agrião, cozido, drenado, s/ óleo, s/ sal, Brasil",Nasturtium officinale,Vegetais e derivados,
74,BRC0008B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=uhqEVIrR7vMy7w9Kzq3U1w%3D%3D,"Agrião, cru, Brasil","Agrião, cru, Brasil",Nasturtium officinale,Vegetais e derivados,
75,BRC0175H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=uW9PEHJS0jU%2BHlhhvNMLcw%3D%3D,"Água, mineral (dado importado)","Água, mineral (dado importado)",,Bebidas,
76,BRC0214B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Ccb2e%2B9CvhQ5q%2BJ%2FJeup2A%3D%3D,"Aipo (salsão), cozido, drenado, s/ óleo, c/ sal","Aipo (salsão), cozido, drenado, s/ óleo, c/ sal",,Vegetais e derivados,
77,BRC0213B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=7Baka0gBGod%2FGbxbymHhKA%3D%3D,"Aipo (salsão), cozido, drenado, s/ óleo, s/ sal, Brasil","Aipo (salsão), cozido, drenado, s/ óleo, s/ sal, Brasil",Apium graveolens  L.,Vegetais e derivados,
78,BRC0065B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=8m53C%2BDUx%2F9OQ0FL7ISG3A%3D%3D,"Aipo (salsão), cru, Brasil","Aipo (salsão), cru, Brasil",Apium graveolens L.,Vegetais e derivados,
79,BRC0216B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=0FW0Jik85JeMkHoxrA3bRg%3D%3D,"Aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal, Brasil","Aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal, Brasil",,Vegetais e derivados,
80,BRC0215B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=CYkT3DhI0%2Bt6MWQT5r2yFg%3D%3D,"Aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal","Aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal",,Vegetais e derivados,
81,BRC1128B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=9U3%2BI9TcY7xoAZAooell%2Bg%3D%3D,"Alcachofra, assada, c/ azeite de oliva, pimenta do reino, c/ sal","Alcachofra, assada, c/ azeite de oliva, pimenta do reino, c/ sal",,Vegetais e derivados,
82,BRC1127B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=I6auNxWHrrrv4EcfAFKY0w%3D%3D,"Alcachofra, assada, s/ óleo, c/ sal","Alcachofra, assada, s/ óleo, c/ sal",,Vegetais e derivados,
83,BRC0915B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=eET9p1YNC6uJK7u7JKOkMA%3D%3D,"Alcachofra, cozida, drenada, s/ óleo, c/ sal","Alcachofra, cozida, drenada, s/ óleo, c/ sal",Cynara scolymus,Vegetais e derivados,
84,BRC0460B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=YNHM128fW4Mw9ZtvBQ9oJA%3D%3D,"Alcachofra, cozida, drenada, s/ óleo, s/ sal (dado importado)","Alcachofra, cozida, drenada, s/ óleo, s/ sal (dado importado)",Cynara scolymus,Vegetais e derivados,
85,BRC1117B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=AcY7lWHkhMPnzd7xOzrRog%3D%3D,"Alcachofra, crua (dado importado)","Alcachofra, crua (dado importado)",Cynara cardunculus var. scolymus,Vegetais e derivados,
86,BRC0703B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=40bBWIEnuu49VJSaHJO6Jg%3D%3D,"Alcaparra, conserva, drenada (dado importado)","Alcaparra, conserva, drenada (dado importado)",Capparis spinosa,Vegetais e derivados,
87,BRC0824B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Eb3y99srnqtNu1mBkNVQAA%3D%3D,"Alecrim, seco (dado importado)","Alecrim, seco (dado importado)",Rosmarinus officinalis,Vegetais e derivados,
88,BRC0226K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=7en5bQbd8z7zz9Ac6TsYpw%3D%3D,Aletria doce,Aletria doce,,Açúcares e doces,
