id,code,url,portuguese_name,name,cientific_name,group,brand
639,BRC0052A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=zemFmLRU7pFb%2FTrD2ueTHA%3D%3D,"Biscoito, doce, wafer, recheio sabor chocolate, Brasil","Biscoito, doce, wafer, recheio sabor chocolate, Brasil",,Cereais e derivados,Marilan
640,BRC0053A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=oDittOXFBeBfynSxb7FWlA%3D%3D,"Biscoito, doce, wafer, recheio sabor morango, Brasil","Biscoito, doce, wafer, recheio sabor morango, Brasil",,Cereais e derivados,Marilan
641,BRC0054A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=kFoLl%2F79ix9LEAIriEEyIg%3D%3D,"Biscoito, doce, wafer, recheio sabor nozes, Brasil","Biscoito, doce, wafer, recheio sabor nozes, Brasil",,Cereais e derivados,Bauducco
642,BRC0836A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=%2B9aqyjnz585lnCqno6JgvQ%3D%3D,"Biscoito, farinha de arroz (dado importado)","Biscoito, farinha de arroz (dado importado)",,Cereais e derivados,
643,BRC0969A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=YX8zixkqFvH3TBe7je3MXw%3D%3D,"Biscoito, palito de queijo, caseiro","Biscoito, palito de queijo, caseiro",,Cereais e derivados,
644,BRC0947A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Z2cSoUXoz5TeilVGCNY9BQ%3D%3D,"Biscoito, palmier, c/ cobertura de chocolate, caseiro","Biscoito, palmier, c/ cobertura de chocolate, caseiro",,Cereais e derivados,
645,BRC0946A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=RGw%2BVNrs%2FCvdNji8aT9CfQ%3D%3D,"Biscoito, palmier, caseiro","Biscoito, palmier, caseiro",,Cereais e derivados,
646,BRC0096B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=pyY9xXx%2FmqVz%2FQdN%2FLab3w%3D%3D,"Biscoito, polvilho, doce, industrializado, Brasil","Biscoito, polvilho, doce, industrializado, Brasil",,Vegetais e derivados,
647,BRC0055A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=GlUpe6vF6hp8ZfYyAbCoVA%3D%3D,"Biscoito, salgado (média diferentes marcas e tipos), Brasil","Biscoito, salgado (média diferentes marcas e tipos), Brasil",,Cereais e derivados,
648,BRC0070N,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=h1Q9Yn3Of7heZcDRfg5s1g%3D%3D,"Biscoito, salgado,  light (dado importado)","Biscoito, salgado,  light (dado importado)",,Alimentos para fins especiais,
649,BRC0057A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=euU2Z%2FqwdKARINZSKO2mAQ%3D%3D,"Biscoito, salgado, água e sal, Brasil","Biscoito, salgado, água e sal, Brasil",,Cereais e derivados,Marilan
650,BRC0058A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Xq3Zcl1qpFE3ZHhBzt6%2Bmw%3D%3D,"Biscoito, salgado, água e sal, Brasil","Biscoito, salgado, água e sal, Brasil",,Cereais e derivados,Tostines
651,BRC0056A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=R34OOCTb8rU7rsIaDu74Lg%3D%3D,"Biscoito, salgado, água, Brasil","Biscoito, salgado, água, Brasil",,Cereais e derivados,Tostines
652,BRC0060A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Z3JC5lxGpIb7Tb9WHE8R0A%3D%3D,"Biscoito, salgado, cream cracker, Brasil","Biscoito, salgado, cream cracker, Brasil",,Cereais e derivados,Marilan
653,BRC0061A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=8BRLDDNbwcgBb9F3%2BWnriQ%3D%3D,"Biscoito, salgado, cream cracker, Brasil","Biscoito, salgado, cream cracker, Brasil",,Cereais e derivados,Tostines
654,BRC0201A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=BOdSr0LmmpXXowZyBON8xA%3D%3D,"Biscoito, salgado, cream cracker, Brasil","Biscoito, salgado, cream cracker, Brasil",,Cereais e derivados,
655,BRC0059A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=TQsvS0JxmJoKAfje0Q4VNA%3D%3D,"Biscoito, salgado, cream cracker, integral, Brasil","Biscoito, salgado, cream cracker, integral, Brasil",,Cereais e derivados,Marilan
656,BRC0973A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=S%2FPZKkTNE7jVv0tCYYiTEg%3D%3D,"Biscoito, tipo goiabinha, c/ farinha integral, c/ recheio de goiaba","Biscoito, tipo goiabinha, c/ farinha integral, c/ recheio de goiaba",,Cereais e derivados,
657,BRC0188K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=vpnYJihtV6STtm0SFtp9Hg%3D%3D,"Biscoito, tipo goiabinha, c/ farinha integral, c/ recheio de goiaba","Biscoito, tipo goiabinha, c/ farinha integral, c/ recheio de goiaba",,Açúcares e doces,
658,BRC0974A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=VYoxGW7TVd7HGAgcH%2Fs%2FHg%3D%3D,"Biscoito, tipo goiabinha, c/ recheio de chocolate","Biscoito, tipo goiabinha, c/ recheio de chocolate",,Cereais e derivados,
659,BRC0189K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=PqnEEqXKRkoqJWeVNXnVwg%3D%3D,"Biscoito, tipo goiabinha, c/ recheio de chocolate","Biscoito, tipo goiabinha, c/ recheio de chocolate",,Açúcares e doces,
660,BRC0972A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=uP60YQL3aDW1DLClFb0RxQ%3D%3D,"Biscoito, tipo goiabinha, c/ recheio de goiaba","Biscoito, tipo goiabinha, c/ recheio de goiaba",,Cereais e derivados,
661,BRC0187K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=DkXBPKBvu96U8Sx1K0MkMQ%3D%3D,"Biscoito, tipo goiabinha, c/ recheio de goiaba","Biscoito, tipo goiabinha, c/ recheio de goiaba",,Açúcares e doces,
662,BRC0010F,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=OJuxeOlbdbOLjETigXnsrg%3D%3D,"Blanquet, fatiado, cozido, Brasil","Blanquet, fatiado, cozido, Brasil",,Carnes e derivados,Sadia
663,BRC0769B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Vn64v5mhXnmQcIB3WbXPVg%3D%3D,"Bobó de camarão, c/ sal","Bobó de camarão, c/ sal",,Vegetais e derivados,
664,BRC0770B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=DKPBK11DJP%2FZT%2B%2FlGhn%2FZw%3D%3D,"Bobó de camarão, s/ sal","Bobó de camarão, s/ sal",,Vegetais e derivados,
665,BRC0773B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=GEFypOpcMYjGOgpASJxYMg%3D%3D,"Bobó de frango, c/ sal","Bobó de frango, c/ sal",,Vegetais e derivados,
666,BRC0774B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=9veKh0zszeHKVJtNq%2B0DAw%3D%3D,"Bobó de frango, s/ sal","Bobó de frango, s/ sal",,Vegetais e derivados,
667,BRC0771B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=AKpazaeKOmgLSKH97IyLMQ%3D%3D,"Bobó de frutos do mar, c/ sal","Bobó de frutos do mar, c/ sal",,Vegetais e derivados,
668,BRC0772B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=VoJ8pZ3xWbTDXMGM%2BjK8%2BA%3D%3D,"Bobó de frutos do mar, s/ sal","Bobó de frutos do mar, s/ sal",,Vegetais e derivados,
669,BRC0489E,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=QR4hdHtLcGJ4Z%2Ft%2BVHsQpg%3D%3D,"Bobó de peixe, c/ sal","Bobó de peixe, c/ sal",,Pescados e frutos do mar,
670,BRC0732A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=2M9w4dW6rfJr3xDvOPCepQ%3D%3D,"Bolinha de queijo, caseira","Bolinha de queijo, caseira",,Cereais e derivados,
671,BRC0888A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=jSxn4SpRu68kZdYpt5SnTQ%3D%3D,"Bolinho de arroz, frito, c/ sal","Bolinho de arroz, frito, c/ sal",,Cereais e derivados,
672,BRC0189A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=QdVVIraqgg5P3TbEHWsPUA%3D%3D,"Bolinho de arroz, frito, s/ sal","Bolinho de arroz, frito, s/ sal",,Cereais e derivados,
673,BRC0223E,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=jaN3dnuiTOLPqsympO4FTQ%3D%3D,"Bolinho de bacalhau, frito, artesanal, Brasil","Bolinho de bacalhau, frito, artesanal, Brasil",,Pescados e frutos do mar,
674,BRC0871A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=mtg9gOOY%2F1coGdbezFyFGg%3D%3D,"Bolinho de chuva, frito, c/ açúcar e canela","Bolinho de chuva, frito, c/ açúcar e canela",,Cereais e derivados,
675,BRC1223B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=XrSn%2B1ayTC1c6mvJ8hRf8A%3D%3D,"Bolinho de espinafre, assado, c/ sal, Brasil","Bolinho de espinafre, assado, c/ sal, Brasil",,Vegetais e derivados,
676,BRC0477F,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=TcBUDptfH%2FY6QWtsX6J6Ew%3D%3D,"Bolinho de mandioca (aipim, macaxeira), recheada c/ carne moída, caseiro, frito","Bolinho de mandioca (aipim, macaxeira), recheada c/ carne moída, caseiro, frito",,Carnes e derivados,
677,BRC0464E,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=D5TqShjLBWV5KZJMzrlbAw%3D%3D,"Bolinho de peixe, caseiro, frito (c/ óleo de soja)","Bolinho de peixe, caseiro, frito (c/ óleo de soja)",,Pescados e frutos do mar,
678,BRC0221T,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=6zDQVkPPKkOfaV9DCu9QoQ%3D%3D,"Bolinho de vagem, frito (c/ óleo de soja), caseiro, c/ sal","Bolinho de vagem, frito (c/ óleo de soja), caseiro, c/ sal",,Leguminosas e derivados,
679,BRC0720B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=npFuHCpABFRhQ8aC3JPKog%3D%3D,"Bolinho, madioca (aipim, macaxeira), frito, c/ sal","Bolinho, madioca (aipim, macaxeira), frito, c/ sal",,Vegetais e derivados,
680,BRC0009K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=1adzpiI6Jb2cYmtYa5OFDg%3D%3D,"Bolinrosa, lata, Brasil","Bolinrosa, lata, Brasil",,Açúcares e doces,Moça
681,BRC0231K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=jfQuY1vrcopLZnZQ6yIubw%3D%3D,"Bolo de aveia, c/ açúcar cristal, Brasil","Bolo de aveia, c/ açúcar cristal, Brasil",,Açúcares e doces,
682,BRC1136A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Rd9C2hBDk%2FoClOuVPWpHZg%3D%3D,"Bolo de aveia, caseiro","Bolo de aveia, caseiro",,Cereais e derivados,
683,BRC0311C,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=tg5kl69WiBGh2PRFoh8L%2BA%3D%3D,"Bolo de banana, c/ açúcar cristal e azeite de oliva, Brasil","Bolo de banana, c/ açúcar cristal e azeite de oliva, Brasil",,Frutas e derivados,
684,BRC0857B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Qq%2Fjwr%2FuSTzlHRzYEMCh2w%3D%3D,"Bolo de batata doce com carne, c/ sal","Bolo de batata doce com carne, c/ sal",,Vegetais e derivados,
685,BRC0858B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Bba3hYAt9uot7lRjfQ0tVA%3D%3D,"Bolo de batata doce com carne, s/ sal","Bolo de batata doce com carne, s/ sal",,Vegetais e derivados,
686,BRC0859B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=2l6wvi4H20uLs4PEqx0s1A%3D%3D,"Bolo de batata doce com frango, c/ sal","Bolo de batata doce com frango, c/ sal",,Vegetais e derivados,
687,BRC0860B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=eJ%2BsSUejjjkvYhRGb685cg%3D%3D,"Bolo de batata doce com frango, s/ sal","Bolo de batata doce com frango, s/ sal",,Vegetais e derivados,
688,BRC1071A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=D4H7%2FrHkqhgs0EJKL1iH1A%3D%3D,"Bolo de cenoura, c/ cobertura de chocolate e leite de coco, caseiro","Bolo de cenoura, c/ cobertura de chocolate e leite de coco, caseiro",,Cereais e derivados,
689,BRC1073A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=lQZhS4b%2BK6fffdinZ7TB2g%3D%3D,"Bolo de cenoura, c/ cobertura de chocolate e leite de coco, s/ glúten, s/ lactose, caseiro","Bolo de cenoura, c/ cobertura de chocolate e leite de coco, s/ glúten, s/ lactose, caseiro",,Cereais e derivados,
690,BRC1072A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=wZcGTt56UACDR0uUdLhxAA%3D%3D,"Bolo de cenoura, s/ glúten, s/ lactose, caseiro","Bolo de cenoura, s/ glúten, s/ lactose, caseiro",,Cereais e derivados,
691,BRC1123A,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=ZXhb3ULJHvJ1%2BJ1%2Bp%2F6ZZA%3D%3D,"Bolo de iogurte, c/ goiabada, caseiro","Bolo de iogurte, c/ goiabada, caseiro",,Cereais e derivados,
692,BRC0853B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=AqI2jLjVRm10ZK%2F5lupqPA%3D%3D,"Bolo de mandioca (aipim, macaxeira) com carne, c/ sal","Bolo de mandioca (aipim, macaxeira) com carne, c/ sal",,Vegetais e derivados,
693,BRC0854B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=Pu4ZwxDTlwgt7nnXlzv6oA%3D%3D,"Bolo de mandioca (aipim, macaxeira) com carne, s/ sal","Bolo de mandioca (aipim, macaxeira) com carne, s/ sal",,Vegetais e derivados,
694,BRC0855B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=T9lTrWV9mIbH18PS8JV%2BuA%3D%3D,"Bolo de mandioca (aipim, macaxeira) com frango, c/ sal","Bolo de mandioca (aipim, macaxeira) com frango, c/ sal",,Vegetais e derivados,
695,BRC0856B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=e9bimZvrOPv2GRlEIDT1LA%3D%3D,"Bolo de mandioca (aipim, macaxeira) com frango, s/ sal","Bolo de mandioca (aipim, macaxeira) com frango, s/ sal",,Vegetais e derivados,
696,BRC1070B,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=5CydBa%2FqCn%2BE909r2zwsMg%3D%3D,"Bolo de milho, c/ goibada, s/ glúten, s/ lactose, caseiro","Bolo de milho, c/ goibada, s/ glúten, s/ lactose, caseiro",,Vegetais e derivados,
697,BRC0216K,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=TW2uTftPvIfv7gOdcL5E6A%3D%3D,Bolo de rolo,Bolo de rolo,,Açúcares e doces,
